Tipo;Marca;Modelo;Descrição;Novo;Nº Série;Nº Patrimônio Poli-UPE;Alocação;Status
Tablet;Samsung;24BL550;Lab-Informática;Verdadeiro;169039356573441;440848020408161.7;LIP01;Manutenção
Monitor;AOC;DC3E-S;Reitoria;Falso;336277840811404;440431078836264.75;LIP02;Desativado
Notebook;DELL;Inspiron 15;Depto-Admin;Falso;480331736971754;440486004355188.5;Admin;Manutenção
Notebook;LG;Elitebook 840;Reitoria;Falso;852401459094948;440855291609422.25;Admin;Funcionando
Tablet;Lenovo;Inspiron 15;Reitoria;Falso;144978516289083;440694226532679.6;Auditório;Desativado
Tablet;DATEN;Elitebook 840;Sala-Treinamento;Falso;868679625843600;440517723499114.5;Admin;Desativado
Servidor;DATEN;24BL550;Biblioteca;Verdadeiro;428474679553625;440230064710248.9;Auditório;Em configuração
Notebook;AOC;Predator X34;Reitoria;Falso;302044875114178;440809860198666.3;Auditório;Manutenção
Monitor;HP;U27VQ;Sala-Treinamento;Falso;267468368226120;440397806822744.94;Admin;Em configuração
Servidor;AOC;Predator X34;Biblioteca;Falso;845698170441502;440119457235348.2;LIP01;Em configuração
Monitor;DELL;Predator X34;Sala-Treinamento;Verdadeiro;106834175982335;440608110240327.4;LIP02;Em configuração
Tablet;AOC;Predator X34;Lab-Informática;Verdadeiro;722942306303072;440729173641898.06;Admin;Desativado
Monitor;AOC;Inspiron 15;Sala-Treinamento;Falso;141510066479594;440394537612315.7;LIP01;Funcionando
Notebook;HP;DC3E-S;Sala-Treinamento;Falso;991784530633721;440860280562722.06;LIP02;Em configuração
Notebook;HP;Galaxy Tab;Depto-Admin;Verdadeiro;485047926634354;440354110193531.8;LIP01;Funcionando
Servidor;AOC;U27VQ;Depto-Admin;Falso;724503469777433;440177406836576.9;LabEngenharia;Manutenção
Notebook;Lenovo;24BL550;Depto-Admin;Falso;169231832546405;440006182573167.2;LIP01;Funcionando
Notebook;HP;Galaxy Tab;Depto-Admin;Falso;947022847308294;440401729157712.94;Admin;Funcionando
Notebook;Acer;Predator X34;Lab-Informática;Verdadeiro;200418068144446;440754423470873.7;LabEngenharia;Manutenção
Monitor;Acer;ThinkPad X1;Reitoria;Verdadeiro;680232515078258;440643887081291.2;LIP02;Funcionando
Servidor;Samsung;U27VQ;Reitoria;Verdadeiro;530470040678649;440427126661421.6;LIP01;Desativado
Servidor;DELL;U27VQ;Lab-Informática;Falso;198755371763841;440650657121873.1;Auditório;Em configuração
Computador;AOC;24BL550;Poli-UPE;Falso;933486646597545;440170526881256.0;LIP02;Funcionando
Tablet;Samsung;24BL550;Biblioteca;Falso;460485712577448;440049273650362.8;Auditório;Desativado
Tablet;HP;Inspiron 15;Depto-Admin;Falso;588480810780610;440064640058643.5;LIP01;Funcionando
Notebook;HP;Predator X34;Lab-Informática;Verdadeiro;819530030185227;440186464404752.6;LabEngenharia;Manutenção
Computador;DATEN;Elitebook 840;Sala-Treinamento;Verdadeiro;568613027125880;440909060242498.5;Auditório;Funcionando
Servidor;Samsung;Inspiron 15;Biblioteca;Falso;711979404958295;440908066091954.0;Auditório;Desativado
Monitor;Lenovo;Galaxy Tab;Poli-UPE;Verdadeiro;510288950576874;440912979674940.94;LIP02;Manutenção
Servidor;LG;DC3E-S;Depto-Admin;Falso;559230907353151;440806877986854.3;Admin;Manutenção
Tablet;Samsung;Predator X34;Poli-UPE;Verdadeiro;993528695979051;440997512363439.4;Auditório;Manutenção
Computador;DELL;24BL550;Poli-UPE;Verdadeiro;514270608719566;440717275652274.6;Auditório;Funcionando
Notebook;Lenovo;Predator X34;Reitoria;Verdadeiro;373894103347093;440292024087665.8;LabEngenharia;Desativado
Monitor;LG;U27VQ;Sala-Treinamento;Falso;137243486758544;440462790035840.9;LabEngenharia;Manutenção
Servidor;DATEN;DC3E-S;Sala-Treinamento;Verdadeiro;206716847518993;440443035776829.94;LabEngenharia;Desativado
Servidor;DATEN;Inspiron 15;Biblioteca;Falso;744889218234004;440643425770273.94;Auditório;Manutenção
Notebook;LG;ThinkPad X1;Biblioteca;Verdadeiro;486517215483427;440117528460228.75;Auditório;Funcionando
Tablet;DELL;24BL550;Poli-UPE;Falso;171620784627540;440952132112288.9;Admin;Manutenção
